FID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
49,32490,32390,LYNESS,GB,58.833333,-3.2,58.0,50.0,N,3.0,12.0,W,141,35057,M,CN,F,Y,N,N,Y,Y,H,J,L,C,3.0, , , , , ,Y,Y,Y,0.0, , ,Y, ,0.0,Y,Y, ,Y, , , ,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y, , , ,0.0, ,0.0,0.0, , ,0.0,0.0,0.0, ,Y,Y,Y, , ,C, , 
762,31470,31330,LONDON,GB,51.5,-0.083333,51.0,30.0,N,0.0,5.0,W,192,37036,L,RB,E,Y,N,N,Y,Y,L,G,O,K,6.0,L,Y,Y,Y,Y,Y,Y,Y,0.0,Y,N,Y, ,0.0,Y,Y,Y,Y, ,Y,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y, ,A,M,M
764,31530,31330,HARWICH,GB,51.95,1.283333,51.0,57.0,N,1.0,17.0,E,192, ,S,RN,F,Y,N,N,Y, ,H,J,K,L,3.0,L, , ,Y,N,Y,Y,Y,0.0,Y, ,Y, ,0.0, , , ,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y, ,0.0,Y,Y,Y, ,0.0, ,0.0,0.0, ,Y,0.0,0.0,0.0, ,Y,Y,Y,Y,Y,C, ,M
875,31640,31330,GRIMSBY,GB,53.583333,-0.066667,53.0,35.0,N,0.0,4.0,W,192,37066,M,RT,E,Y,N,N,Y,Y,M,O,N, ,6.0,M, , ,Y,Y,Y,Y,Y,0.0,Y,N,Y, ,0.0,Y,Y,Y,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y, ,0.0,Y,Y,Y, ,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,C,M,S
876,31650,31330,IMMINGHAM,GB,53.633333,-0.2,53.0,38.0,N,0.0,12.0,W,192,37066,M,RT,E,Y,N,N,Y,Y,L,N,H,K,5.0,L, , ,Y,N,Y,Y,Y,0.0,Y,N,Y, ,0.0, , , ,Y, ,Y,Y, ,Y,0.0,0.0,0.0,Y, ,0.0,Y,Y,Y, ,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,M
877,31660,31330,KINGSTON UPON HULL,GB,53.75,-0.283333,53.0,45.0,N,0.0,17.0,W,192,37062,M,RT,E,Y,N,N,Y,Y,N,N,K,K,6.0,L, , ,Y,N,Y,Y,Y,0.0,Y,N,Y, ,0.0,Y,Y, ,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y, ,0.0,Y,Y,Y,Y,0.0, ,0.0,0.0, , ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M, 
882,31140,30980,ROTTERDAM,NL,51.9,4.483333,51.0,54.0,N,4.0,29.0,E,192,37243/1,L,RB,F,N,N,N,Y,Y,J,J,M,H,1.0,L,Y,Y,Y, ,Y,Y,Y,0.0,Y, ,Y,Y,0.0,Y,Y,Y,Y,Y,Y,Y,Y,N,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,S
890,30780,30650,HAMBURG,DE,53.55,9.933333,53.0,33.0,N,9.0,56.0,E,192,37230,L,LC,E,Y,N,Y,Y,Y,K, ,M,O,3.0,M,Y,Y,Y,Y,Y,Y,Y,0.0,Y, ,Y, ,0.0,Y,Y,Y,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,L
891,30800,30650,CUXHAVEN,DE,53.866667,8.716667,53.0,52.0,N,8.0,43.0,E,192,37226,M,RB,G,N,N,N,Y, ,G,O,M, ,3.0,M, , ,Y,N,Y,Y,Y,0.0,Y, ,Y, ,0.0,Y,Y,Y,Y, , ,Y,Y,Y,0.0,0.0,0.0,Y,Y,0.0,Y,Y, , ,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,B, ,L
892,30810,30650,BREMERHAVEN,DE,53.533333,8.583333,53.0,32.0,N,8.0,35.0,E,192,37234,L,RT,E,Y,N,N,Y,Y,J,L,N, ,4.0,M, ,Y,Y,N,Y,Y,Y,0.0,Y,N,Y, ,0.0,Y,Y,Y,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,S,L
