,X,Y,FID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
2119,-1.36666666699995,54.9166666670001,2120,31760,31330,SUNDERLAND,GB,54.916667,-1.366667,54.0,55.0,N,1.0,22.0,W,192, ,M,RT,G,Y,Y,N,Y,Y,M,H,M,L,4.0,L, ,Y,Y,N,Y,Y,Y,0.0,Y, ,Y, ,0.0,Y,Y, ,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0, ,0.0,0.0, ,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,S,M
2120,-1.39999999999998,55.0000000000001,2121,31765,31330,TYNEMOUTH,GB,55.0,-1.4,55.0,0.0,N,1.0,24.0,W,192, ,M,RT,E,N,N,N,Y,Y,L,H,M,N,3.0,L, , ,Y,N,Y,Y,Y,0.0, , ,Y, ,0.0,Y,Y, ,Y, ,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,N,Y,Y,Y,0.0, ,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,L,S
2121,-1.49999999999994,55.1166666670001,2122,31820,31330,BLYTH,GB,55.116667,-1.5,55.0,7.0,N,1.0,30.0,W,192, ,M,RN,G,Y,N,N,Y, ,L,E,M, ,3.0,M, , ,Y,N,Y,N,Y,0.0,Y, ,Y, ,0.0,Y,Y, ,Y,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,B, , 
2235,-3.18333333399994,55.9833333340001,2236,31930,31870,LEITH,GB,55.983333,-3.183333,55.0,59.0,N,3.0,11.0,W,192,35037,M,RT,G,Y,N,N,Y,Y,M,L,M,L,2.0,M,Y,Y,Y,Y,Y, ,Y,0.0,Y, ,Y,Y,0.0,Y, , ,Y, ,Y,Y, , ,0.0,0.0,0.0,Y,Y,0.0, ,Y,Y, ,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0, ,Y,Y,Y,Y,Y,A,M,S
2243,-2.94999999999993,56.466666667,2244,32170,31870,DUNDEE,GB,56.466667,-2.95,56.0,28.0,N,2.0,57.0,W,141, ,L,RB,E,Y,N,N,Y,Y,M,L,K,L,5.0,L, , ,Y,N,Y,Y,Y,0.0,Y,Y,Y,Y,0.0, ,Y,Y,Y,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0, ,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,B, , 
2246,-2.08333333299993,57.15,2247,32220,31870,ABERDEEN,GB,57.15,-2.083333,57.0,9.0,N,2.0,5.0,W,141,35013,M,RB,G,Y,N,N, ,Y,N,K,K,M,4.0,L,Y, ,Y,N,Y,Y,Y,0.0,Y, ,Y,Y,0.0, ,Y,Y, ,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,C,S, 
2247,-1.78333333299997,57.5000000000001,2248,32230,31870,PETERHEAD,GB,57.5,-1.783333,57.0,30.0,N,1.0,47.0,W,141,35013,M,CB,G,Y,Y,N,Y, ,K,H,K,K,3.0,L,Y,Y,Y,N,Y,Y,Y,0.0, ,N,Y, ,0.0, ,Y,Y, ,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y, ,Y, ,0.0,Y,0.0,0.0,Y, ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,B,S, 
2249,-1.13333333299994,54.65,2250,31720,31330,TEESPORT,GB,54.65,-1.133333,54.0,39.0,N,1.0,8.0,W,192, ,L,RT,G,Y,N,N,Y,Y,G,H,M,M,3.0,M, ,Y,Y,N,Y,Y,Y,0.0,Y, ,Y, ,0.0,Y,Y,Y,Y,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,M,M
2254,4.40000000000003,51.216666666,2255,31250,31240,ANTWERPEN,BE,51.216667,4.4,51.0,13.0,N,4.0,24.0,E,192,37246,L,RT,G,N,N,Y,Y,Y,J,C,J,M,4.0,M, ,Y,Y,Y,Y,Y,Y,0.0, ,N,Y,Y,0.0, ,Y,Y,Y,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y,Y,0.0,Y,0.0,0.0,Y,Y,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,A,L, 
2256,3.73333333400006,51.066666667,2257,31270,31240,GHENT,BE,51.066667,3.733333,51.0,4.0,N,3.0,44.0,E,192,37246,M,LC,F,N,N,N,Y,Y,J,G,J,N,0.0,L,Y,Y,Y,N,Y,Y,Y,0.0,Y, ,Y, ,0.0,Y,Y,Y,Y,Y,Y,Y,Y, ,0.0,0.0,0.0,Y,Y,0.0,Y,Y,Y, ,0.0, ,0.0,0.0, , ,0.0,0.0,0.0,Y,Y,Y,Y,Y,Y,B,M,M
