imo_number,mmsi,name,ship_type,length,width,max_draught,type_name,type_remark
9798351,215078000,ELDIA               ,80,149,34,8.0,Tanker,All ships of this type
9676125,257980000,EAGLE BARENTS       ,80,221,55,10.0,Tanker,All ships of this type
9429235,636020533,TUNADAL             ,74,148,10,7.7,Cargo,Hazardous category D
9372169,257282000,NORMAND SAPPHIRE    ,90,31,62,7.2,Other Type,All ships of this type
9639359,235094269,HIGHLAND CHIEFTAIN,79,15,65,4.8,Cargo,No additional information
9582116,311061600,EPIPHANIA           ,70,195,33,8.0,Cargo,All ships of this type
9404651,354625000,MSC CAMILLE         ,71,145,221,10.7,Cargo,Hazardous category A
9650212,209852000,NDEAVOR             ,90,19,80,4.0,Other Type,All ships of this type
9158654,257624000,AQUA SOLUNDOY,90,9,22,5.0,Other Type,All ships of this type
9434503,232057882,FS ARIES            ,99,17,56,4.4,Other Type,No additional information
9811000,353136000,EVER GIVEN          ,71,142,258,12.2,Cargo,Hazardous category A
9252527,245354000,THETIS              ,52,12,17,5.0,Tug,NaN
9635808,563619000,HAFNIA LYNX         ,80,149,34,9.7,Tanker,All ships of this type
2326627,269057834,BASILEA,79,100,10,2.1,Cargo,No additional information
9805568,244890472,ROTRA VENTE         ,70,121,20,6.5,Cargo,All ships of this type
9193070,232821000,VOS PROVIDER,99,20,48,5.2,Other Type,No additional information
9813230,255806202,UHL FOCUS           ,70,15,135,6.6,Cargo,All ships of this type
9602514,257076000,ISLAND CRUSADER     ,90,15,81,6.2,Cargo,All ships of this type
9321392,255755000,AASFJORD,70,104,10,6.6,Cargo,All ships of this type
9842932,205045000,TUG 50              ,52,12,13,5.5,Tug,NaN
9468528,215712000,FUJI LAVA           ,80,81,25,6.5,Tanker,All ships of this type
9657002,219017205,BRAVER              ,40,14,7,2.1,High speed craft (HSC),All ships of this type
9924259,563175800,ARMADA 78 02,90,29,49,6.5,Other Type,All ships of this type
1468690,205369090,SOMTRANS X,80,115,20,0.1,Tanker,All ships of this type
9656668,257036130,SUPRA TIDE,79,23,66,5.6,Cargo,No additional information
9283693,636091130,AS PALINA           ,75,162,48,10.1,Cargo,Reserved for future use
9468932,230632000,FINNWAVE            ,71,14,204,6.1,Cargo,Hazardous category A
9268849,257039490,KNARRLAGSUND        ,70,102,10,5.7,Cargo,All ships of this type
9644445,231851000,TORSBORG            ,70,12,74,5.0,Cargo,All ships of this type
9658367,563218400,BENRIACH            ,80,74,26,6.5,Tanker,All ships of this type
9649081,229203000,DENSA FALCON        ,70,154,32,9.9,Cargo,All ships of this type
9284647,352001760,MAVKA,80,121,13,7.0,Tanker,All ships of this type
9299733,621819092,NAGARJUNA           ,80,204,40,14.8,Tanker,All ships of this type
9858670,210290000,SOLITAS-H           ,70,79,10,3.5,Cargo,All ships of this type
9416082,370999000,SHAMROCK JUPITER    ,80,120,26,6.1,Tanker,All ships of this type
9344007,636023630,HARDRADA            ,80,154,26,11.0,Tanker,All ships of this type
963434700,311000610,REM INSULA          ,90,16,70,5.5,Other Type,All ships of this type
9242625,636018490,MSC VANQUISH II,70,160,18,10.7,Cargo,All ships of this type
9902938,636021084,LNG PROSPERITY      ,80,239,60,8.8,Tanker,All ships of this type
9912139,241770000,ATLANTIC            ,80,225,49,9.5,Tanker,All ships of this type
9433157,636021249,MSC JENNIFER II     ,74,162,18,9.1,Cargo,Hazardous category D
9173692,230916000,TALI                ,70,115,22,6.0,Cargo,All ships of this type
9306055,244870246,YE243 CREADAN LADY,30,8,36,1.8,Fishing,NaN
9319246,235010520,GRAMPIAN CONTENDER  ,51,15,33,5.2,Search and Rescue vessel,NaN
9351282,235053142,ST DAVID            ,0,10,10,2.6,Not available (default),NaN
9396701,209823000,RIX GULF            ,70,83,9,3.7,Cargo,All ships of this type
8985141,245331000,SCH-33 TEMPUS FUGIT,30,16,7,0.0,Fishing,NaN
9436020,352005238,CENTURION I         ,80,222,28,8.5,Tanker,All ships of this type
9437983,352003969,CAI YUN             ,80,203,40,15.0,Tanker,All ships of this type
9678628,235092103,MCS PAMPERO         ,40,23,3,2.1,High speed craft (HSC),All ships of this type
9368948,259665000,EDDA FAUNA          ,90,52,57,6.6,Other Type,All ships of this type
5096743,244556000,MARIE GALANTE       ,36,27,9,2.5,Sailing,NaN
8962187,257121000,SEIBRIS             ,70,7,17,3.0,Cargo,All ships of this type
9411276,235073828,VOS VOYAGER         ,90,15,45,4.4,Other Type,All ships of this type
9278791,538006782,FEDERAL NAKAGAWA    ,79,175,25,9.9,Cargo,No additional information
9397951,311064500,BOKA OCEAN          ,79,34,104,6.1,Cargo,No additional information
9013098,257022800,PREIKESTOLEN        ,69,44,43,3.7,Passenger,No additional information
9980928,232052186,CMS THUNDERER       ,52,12,11,0.0,Tug,NaN
792431000,211272310,FRISIA IX           ,60,0,57,0.0,Passenger,All ships of this type
8509492,245148000,ARM44               ,90,36,5,0.0,Other Type,All ships of this type
9184639,259612000,TROENDERBAS,30,30,38,7.5,Fishing,NaN
9679921,235103286,SEVEN KESTREL,0,40,85,7.1,Not available (default),NaN
9680528,235103023,VOS GLORY,70,20,40,4.5,Cargo,All ships of this type
9115963,246327000,HD35 NOORDERLICHT   ,30,17,7,4.0,Fishing,NaN
9276482,636016823,CETUS               ,72,192,33,8.0,Cargo,Hazardous category B
9992189,211117790,VB ENDEAVOUR        ,52,14,14,6.1,Tug,NaN
9430739,563223700,SRIWANGI III        ,80,121,25,7.2,Tanker,All ships of this type
8511275,232217000,OCEAN OBSERVER      ,38,35,45,5.1,Reserved,NaN
6004003,205396000,POLYBOTES           ,70,99,11,2.2,Cargo,All ships of this type
9972517,255806457,UHL FABLE           ,70,15,135,8.3,Cargo,All ships of this type
9402122,311025800,SUNSET              ,70,153,25,10.8,Cargo,All ships of this type
9180839,245315000,MOEZELBORG,79,120,15,7.3,Cargo,No additional information
9361421,235011640,GRAMPIAN COURAGEOUS,51,18,29,5.3,Search and Rescue vessel,NaN
9616163,257954000,OCEAN RESPONSE      ,51,28,47,6.0,Search and Rescue vessel,NaN
9102100,636010378,STOLT INVENTION     ,80,149,28,9.5,Tanker,All ships of this type
9249348,258612000,NORMAND MERMAID,90,31,59,5.8,Other Type,All ships of this type
9364033,235056391,NORTH PROMISE       ,90,20,67,4.5,Other Type,All ships of this type
9246152,257970000,XANTHIA,89,135,12,6.5,Tanker,Hazardous category D
9422275,305067000,LIANNE,70,68,12,4.5,Cargo,All ships of this type
9989156,232046093,HST FRANCES         ,40,14,10,0.0,High speed craft (HSC),All ships of this type
5317305,211236290,SCHALL              ,98,33,17,1.9,Other Type,Reserved for future use
9424754,244285000,TEMPEST,80,80,20,2.7,Tanker,All ships of this type
950619800,236567000,TRISTAR SHAMAL      ,89,91,26,8.0,Tanker,No additional information
9349215,210167000,ELBSPRINTER         ,72,130,12,6.0,Cargo,Hazardous category B
9858826,232023509,NJORD THUNDER,99,14,9,1.8,Other Type,No additional information
9432919,636020885,LAKE COMO           ,70,27,156,8.4,Cargo,All ships of this type
9277773,311595000,RCC AMERICA         ,70,50,150,8.0,Cargo,All ships of this type
9404235,232005533,VELOX,79,76,14,5.4,Cargo,No additional information
9792864,636020839,PIS RINJANI         ,80,205,44,9.0,Tanker,All ships of this type
9534547,244780424,FRISIAN SEA,70,106,12,6.1,Cargo,All ships of this type
9288837,257357000,CHAMPION TIMUR      ,80,154,29,8.1,Tanker,All ships of this type
8516225,219168000,CADIZ               ,30,38,10,0.0,Fishing,NaN
9568990,205592000,WIELINGEN PILOT     ,50,10,15,2.7,Pilot Vessel,NaN
8511029,218801000,SIMON B             ,70,68,14,4.1,Cargo,All ships of this type
9694426,563545000,MIEKE SCHULTE       ,71,170,19,9.9,Cargo,Hazardous category A
8516263,275493000,CEG GALAXY          ,70,51,12,3.2,Cargo,All ships of this type
8521658,354498000,GLOMAR 4-WINDS      ,51,32,14,4.9,Search and Rescue vessel,NaN
9246712,255805803,INDEPENDENT FUTURE,79,198,22,10.6,Cargo,No additional information
9247132,258648000,NORBRIS,70,95,15,6.1,Cargo,All ships of this type
8700802,245308000,UK22 STELLA POLARIS ,30,18,12,4.0,Fishing,NaN
9985150,375542000,AQUA POLLUX         ,52,12,13,0.0,Tug,NaN
9696307,232010652,CAPALL MARA         ,33,35,5,2.3,Dredging or underwater ops,NaN
9251107,235005270,CEFAS ENDEAVOUR     ,90,30,44,8.5,Other Type,All ships of this type
9297864,636016424,MSC ANYA            ,71,223,71,11.6,Cargo,Hazardous category A
8100612,245647000,HA36 SCHILLHORN     ,30,25,12,2.2,Fishing,NaN
9584865,255806525,KATHARINA SCHEPERS,71,143,9,8.7,Cargo,Hazardous category A
9407299,235040596,MTS VALOUR          ,52,9,15,2.4,Tug,NaN
9234070,235507000,EDDYSTONE           ,70,124,69,5.5,Cargo,All ships of this type
9804033,209508000,YURIY KUCHIEV,80,173,56,9.2,Tanker,All ships of this type
8602012,258041000,NYSAND,70,60,14,3.5,Cargo,All ships of this type
100378600,256004327,SHEERGOLD           ,37,19,23,2.8,Pleasure Craft,NaN
9710323,538006249,ECO ROYALTY         ,80,73,22,4.7,Tanker,All ships of this type
9267314,235004829,UKD SEALION         ,33,16,10,2.8,Dredging or underwater ops,NaN
9840192,244170843,MERWESTROOM,55,28,12,1.8,Law Enforcement,NaN
9996410,538011262,IPANEMA             ,80,226,48,9.5,Tanker,All ships of this type
9379129,636019261,RUI FU SHENG,80,149,35,11.0,Tanker,All ships of this type
9613630,245547000,EEMS DOVER,70,14,94,4.8,Cargo,All ships of this type
9423841,246346000,CAPEWATER           ,82,80,20,6.7,Tanker,All ships of this type
9938016,319189500,NOME,37,29,45,3.6,Pleasure Craft,NaN
8576897,220257000,BORNOE              ,30,10,5,3.5,Fishing,NaN
9697026,563096500,MAERSK BAHAMAS      ,71,176,20,9.1,Cargo,Hazardous category A
9183465,212542000,CEMBAY              ,70,70,18,6.3,Cargo,All ships of this type
9440241,250001723,ARKLOW MANOR,79,116,21,8.9,Cargo,No additional information
9831177,248789000,HERMINE             ,70,23,194,7.3,Cargo,All ships of this type
9691357,218057440,VB EVOLUTION,52,16,16,5.8,Tug,NaN
9732357,211886490,AL JMELIYAH,71,141,227,13.9,Cargo,Hazardous category A
8543931,227606480,F/V VILLE DU CROTOY ,30,7,7,3.1,Fishing,NaN
8943545,246017000,ASTERIAS,90,15,20,1.2,Other Type,All ships of this type
9878254,245217000,SVITZER JUPITER     ,52,9,14,4.8,Tug,NaN
9568328,246846000,EEBORG              ,70,136,9,8.3,Cargo,All ships of this type
9399399,245046000,LINGEBORG           ,70,112,11,4.1,Cargo,All ships of this type
9597367,218028070,VB MERCURY          ,52,8,16,5.8,Tug,NaN
9822853,231860000,DETTIFOSS,79,162,17,10.0,Cargo,No additional information
9429546,258577000,VIVAX,52,10,23,6.1,Tug,NaN
9712553,636022578,NAVIGATOR LUNA      ,80,123,33,7.8,Tanker,All ships of this type
9717084,257138000,SMARAGD             ,30,41,33,7.0,Fishing,NaN
9190468,232004783,DHB DOUGHTY         ,52,7,23,4.8,Tug,NaN
9814715,266461000,GG707 ARKO          ,30,18,9,5.2,Fishing,NaN
9623659,255806206,AMSTEL CONFIDENCE   ,70,158,25,9.1,Cargo,All ships of this type
9195872,314500000,VALENTINA           ,70,88,7,6.5,Cargo,All ships of this type
9828936,226347000,SCOMBRUS,30,81,0,6.8,Fishing,NaN
9430985,259013000,WILSON NEWPORT      ,79,106,17,7.3,Cargo,No additional information
9297541,352005301,DOVE                ,80,203,43,8.5,Tanker,All ships of this type
9809100,277548000,TULIPA SEAWAYS,71,137,72,5.8,Cargo,Hazardous category A
9013062,246179000,EEMS COBALT         ,70,67,15,2.6,Cargo,All ships of this type
8684462,232012896,HARVEST DAWN N82,30,15,7,3.5,Fishing,NaN
9057238,244246000,HENDRIKA MARGARETHA ,70,71,10,5.0,Cargo,All ships of this type
9219563,259678000,SYLVARNES,45,8,18,0.0,High speed craft (HSC),Reserved for future use
9405851,370706000,AL-AMERAT           ,80,152,31,7.0,Tanker,All ships of this type
9085247,246202000,YE56 PIETER         ,30,30,10,1.2,Fishing,NaN
9713636,277523000,MINTIS              ,99,12,28,3.5,Other Type,No additional information
7432226,228459600,RIDENS              ,51,22,18,4.2,Search and Rescue vessel,NaN
9710945,538007877,SEACOR NILE         ,99,25,60,4.8,Other Type,No additional information
9308546,266201000,EVINCO,82,127,28,9.3,Tanker,All ships of this type
9788174,219025273,SVITZER HEIMDAL     ,52,15,13,5.6,Tug,NaN
9492361,538005036,THE CHIEF           ,89,114,20,8.2,Tanker,No additional information
8541218,227314170,F/V JEAN PAUL 2     ,30,8,9,3.5,Fishing,NaN
9064059,235006680,RED OSPREY          ,60,47,46,2.3,Passenger,All ships of this type
9875848,232033439,RUPERT BEST         ,52,11,11,4.8,Tug,NaN
9569011,205594000,WANDELAAR PILOT,50,15,46,6.3,Pilot Vessel,NaN
8620387,235113112,PENFRET             ,33,47,13,4.4,Dredging or underwater ops,NaN
9919890,246133000,CORAL NORDIC,89,140,37,7.0,Tanker,No additional information
1007287,319741000,SKAT                ,37,36,36,4.0,Pleasure Craft,NaN
7333339,257226500,GAMLE OKSOEY        ,90,27,15,3.7,Other Type,All ships of this type
9306691,244321000,TUNA,79,77,12,3.8,Cargo,No additional information
9834856,538090551,CHARISMA.GR         ,70,152,28,10.3,Cargo,All ships of this type
9845142,351907000,HL MERCURY          ,70,287,53,20.9,Cargo,All ships of this type
9312200,244357000,ENDURANCE,70,125,10,6.8,Cargo,All ships of this type
9454826,304625000,KILLU               ,70,99,16,4.4,Cargo,All ships of this type
9694165,235098572,MCS KAVER           ,99,20,6,2.2,Other Type,No additional information
9648544,235106697,SD ANGELINE         ,56,10,10,2.8,Spare - Local Vessel,NaN
9569009,205593000,WESTERSCHELDE PILOT ,50,14,11,2.7,Pilot Vessel,NaN
9045871,211208350,VB BREMERHAVEN,52,14,17,5.2,Tug,NaN
9394301,374689000,GLOMAR SUPPORTER,33,24,36,4.5,Dredging or underwater ops,NaN
9844203,636022800,JACOB OLDENDORFF    ,70,171,28,10.6,Cargo,All ships of this type
9310355,266469000,OLYMPUS             ,80,98,26,8.0,Tanker,All ships of this type
9308168,352001148,CLEAN NIRVANA       ,80,160,29,12.3,Tanker,All ships of this type
9402677,219030184,ORALYNN             ,80,83,20,4.6,Tanker,All ships of this type
8521749,245928000,UK38 KLEINE JAN,30,18,18,4.0,Fishing,NaN
9388534,212937000,ELBTRADER,71,130,9,7.2,Cargo,Hazardous category A
9308833,352004897,KUSTO               ,89,213,31,8.4,Tanker,No additional information
9708863,211897760,AL MURAYKH,71,158,242,11.1,Cargo,Hazardous category A
9309435,248993000,MINERVA ALICE       ,89,209,44,12.9,Tanker,No additional information
9309473,372008000,MSC HEIDI           ,71,258,74,12.2,Cargo,Hazardous category A
9311763,636012905,LORRAINE,71,206,15,11.1,Cargo,Hazardous category A
9267704,244967000,AMADEUS SMARAGD     ,70,80,10,4.0,Cargo,All ships of this type
9724740,636016847,SKYWALKER           ,70,169,30,9.9,Cargo,All ships of this type
8609931,275334000,BONITA              ,70,56,9,3.8,Cargo,All ships of this type
8619998,245794000,OD-6 ZELDENRUST,30,0,0,4.0,Fishing,NaN
9407988,255915979,STEN BERGEN         ,80,114,30,9.0,Tanker,All ships of this type
9423839,257061000,MAGNE VIKING        ,70,25,60,6.6,Cargo,All ships of this type
9644782,257159000,MOSTEIN             ,30,30,14,6.8,Fishing,NaN
9104718,244762000,DELTA               ,33,6,35,1.6,Dredging or underwater ops,NaN
9583445,311049200,FUGRO GALAXY,79,30,35,5.4,Cargo,No additional information
9832767,211401960,OSTERIFF,99,13,120,3.6,Other Type,No additional information
8995196,235031425,NAB,99,33,11,0.0,Other Type,No additional information
110000000,235092069,GEAD                ,0,0,0,0.0,Not available (default),NaN
9623142,245439000,TORSTEN             ,38,20,11,2.8,Reserved,NaN
8650239,257591600,TOYA,30,10,18,4.5,Fishing,NaN
9293076,235028825,DUNKERQUE SEAWAYS   ,64,37,150,6.5,Passenger,Hazardous category D
9424869,248701000,OPALINE,71,146,49,7.2,Cargo,Hazardous category A
9797814,230689000,UIKKU               ,81,126,30,6.7,Tanker,Hazardous category A
9829796,257084120,VIKSTRAUM           ,80,105,24,7.9,Tanker,Hazardous category B
9734953,257338000,FJORDLYS            ,40,11,17,1.5,High speed craft (HSC),All ships of this type
9629550,229319000,SEASALVIA           ,84,149,34,12.9,Tanker,Hazardous category D
9108829,244146000,SCHENGE,33,83,10,6.2,Dredging or underwater ops,NaN
9429883,235085775,VB SCOTSMAN,52,10,15,4.4,Tug,NaN
9189512,235113838,WIND INNOVATION     ,99,15,77,6.0,Other Type,No additional information
9348716,258312000,TENAX,52,19,19,7.0,Tug,NaN
9647239,235097323,VOS FANTASTIC,51,9,51,4.3,Search and Rescue vessel,NaN
8848288,244895000,NSI WORKER          ,34,15,7,1.8,Diving ops,NaN
9312717,232032735,CELTIC PIONEER      ,70,96,10,4.5,Cargo,All ships of this type
9822451,563071100,HOEGH GANNET        ,84,231,63,9.6,Tanker,Hazardous category D
9666429,636015891,AFRICAN HHB         ,70,156,19,7.0,Cargo,All ships of this type
9868144,257111010,HORDAGUT            ,70,17,67,0.0,Cargo,All ships of this type
9196319,355104000,SEA CRUISER 2       ,70,28,102,5.4,Cargo,All ships of this type
9470820,538006954,AGIA  SOFIA,70,148,22,6.8,Cargo,All ships of this type
9425356,219554000,TERNVIND            ,89,100,30,7.4,Tanker,No additional information
9431018,259000000,WILSON NANJING      ,79,107,16,4.8,Cargo,No additional information
9932892,636021470,MSC MARA            ,71,111,253,13.1,Cargo,Hazardous category A
9833682,563252500,NAVIG8 GUIDE        ,80,147,36,9.8,Tanker,All ships of this type
9312975,351249000,NYK OCEANUS         ,71,249,87,12.7,Cargo,Hazardous category A
9312705,232033027,CELTIC AMBASSADOR   ,79,95,11,4.6,Cargo,No additional information
9312846,636025005,BOURDA              ,80,199,44,14.9,Tanker,All ships of this type
9431006,259016000,WILSON NEWCASTLE    ,70,105,18,5.0,Cargo,All ships of this type
9104976,259845000,ROTTINGOY           ,30,35,25,7.0,Fishing,NaN
9696668,232046797,LUNDY SENTINEL      ,70,20,41,4.9,Cargo,All ships of this type
9195547,246231000,H&S BRAVERY         ,79,69,13,3.3,Cargo,No additional information
9837339,219236000,FJORD FSTR          ,49,68,41,3.2,High speed craft (HSC),No additional information
9856854,230700000,FINNECO III,79,119,119,6.5,Cargo,No additional information
9740354,258527000,STRIL MAR           ,70,28,65,5.4,Cargo,All ships of this type
9228667,226183000,F/V NICOLAS JEREMY,30,12,12,3.8,Fishing,NaN
9313199,511101289,CSTAR FEVRONIYA     ,72,157,13,8.7,Cargo,Hazardous category B
9313527,219309000,GIJON KNUTSEN       ,80,150,37,11.8,Tanker,All ships of this type
8645088,235021996,LANTIC BAY,33,43,14,1.8,Dredging or underwater ops,NaN
9455387,352986165,TBC PURPOSE         ,70,165,15,7.0,Cargo,All ships of this type
8137574,211224310,EMS                 ,99,0,0,2.6,Other Type,No additional information
960959800,235080287,SPECTRUM 4          ,40,5,18,1.8,High speed craft (HSC),All ships of this type
9830214,257024820,FUTURE OF THE FJORDS,60,18,24,1.5,Passenger,All ships of this type
9410715,205002000,VB SHARK            ,52,15,17,5.6,Tug,NaN
9439022,258467000,TROMS POLLUX        ,70,18,67,6.0,Cargo,All ships of this type
9977103,232043571,SEACAT COLUMBIA     ,40,14,15,1.8,High speed craft (HSC),All ships of this type
9007104,257054580,HORDAFOR VII,83,52,22,6.8,Tanker,Hazardous category C
9597317,244090107,EN AVANT 30         ,52,14,27,7.1,Tug,NaN
9668037,244830924,EXPERIENCE          ,52,10,18,4.6,Tug,NaN
9405370,244150499,MIDDELBURG          ,33,83,7,6.6,Dredging or underwater ops,NaN
9313773,209708000,SILVAMAR,70,75,15,4.2,Cargo,All ships of this type
9799977,247386800,ML FREYJA,70,20,172,6.4,Cargo,All ships of this type
9263576,244063000,LECKO               ,70,79,10,6.0,Cargo,All ships of this type
8119637,351556000,N35,52,15,66,4.0,Tug,NaN
8139388,245518000,HAM602              ,33,66,17,4.5,Dredging or underwater ops,NaN
9255787,255806300,ENERGY,71,123,12,6.4,Cargo,Hazardous category A
8906286,613889000,LITSA,70,67,15,4.2,Cargo,All ships of this type
9570565,247353200,CAROLINE A          ,89,76,20,5.6,Tanker,Hazardous category B
9710347,232011493,MARINER B           ,38,200,50,10.5,Reserved,NaN
9291602,352001852,BARBAROS ULUC VARDAL,80,82,23,5.7,Tanker,All ships of this type
937827800,636022010,CORAL FRASERI       ,80,111,26,6.3,Tanker,All ships of this type
9748277,319130500,PANDA               ,70,153,27,9.9,Cargo,All ships of this type
9314545,271000862,MUSTAFA YAGCI       ,70,85,10,6.9,Cargo,All ships of this type
9313814,244376000,VLIELAND            ,70,95,16,6.5,Cargo,All ships of this type
2333017,269057328,CONCENTUS,80,15,95,2.7,Tanker,All ships of this type
9793820,405000240,BANGLAR JOYJATRA    ,70,149,31,10.0,Cargo,All ships of this type
5345065,259167000,SUNNHORDLAND,60,11,46,3.2,Passenger,All ships of this type
9315018,210283000,WEC DE HOOGH,71,142,8,8.7,Cargo,Hazardous category A
9313802,246371000,NIJLBORG            ,70,101,10,6.4,Cargo,All ships of this type
9605009,373058000,CAPE SUNRISE        ,70,253,39,11.3,Cargo,All ships of this type
9753026,241637000,WOODSIDE CHANEY     ,80,232,63,9.7,Tanker,All ships of this type
9753284,232018048,BERGE GALDHOPIGGEN  ,70,149,31,6.9,Cargo,All ships of this type
9753911,219879000,SKANDI INSTALLER,90,36,102,6.6,Other Type,All ships of this type
9315020,255805555,AKACIA              ,70,141,8,7.7,Cargo,All ships of this type
9754410,209078000,FRIGG W             ,70,124,14,7.2,Cargo,All ships of this type
9754422,212792000,FREYJA W            ,70,124,14,7.4,Cargo,All ships of this type
9755567,211116660,OSK RENDSBURG,52,13,11,4.4,Tug,NaN
9892884,230696000,BORE WAY            ,79,22,100,6.1,Cargo,No additional information
9163489,511100788,MABROKAH            ,70,161,24,6.4,Cargo,All ships of this type
9974905,232053286,CAMPERDOWN          ,52,11,18,6.0,Tug,NaN
9479541,257205000,DEEP CYGNUS,99,36,87,5.9,Other Type,No additional information
9313747,314604000,WILSON AVONMOUTH    ,79,77,11,5.3,Cargo,No additional information
9828998,244066000,THUN LIVERPOOL      ,80,119,30,9.0,Tanker,All ships of this type
9434890,314001030,NAUTILUS            ,89,201,42,15.0,Tanker,No additional information
9755646,538007403,ECO ICE             ,80,125,35,9.2,Tanker,All ships of this type
9924156,246849000,TEUNIS HUIBERTUS,33,18,69,6.8,Dredging or underwater ops,NaN
9268851,255802870,FL STOROE           ,70,103,9,5.1,Cargo,All ships of this type
9622760,256918000,YM FUJI             ,70,100,31,8.3,Cargo,All ships of this type
9317676,215584000,FOYLE,80,76,23,5.8,Tanker,All ships of this type
9626558,636015480,KESTREL             ,79,130,42,8.5,Cargo,No additional information
9629809,210586000,LOTTA,70,70,19,5.2,Cargo,All ships of this type
9470325,636023924,ELIKI               ,79,144,25,10.0,Cargo,No additional information
6807591,245569000,JAN LEENHEER        ,52,12,13,3.8,Tug,NaN
9396555,314746000,LAGAVULIN,99,124,24,8.9,Other Type,No additional information
6820971,257336400,NARASUND,60,10,20,2.0,Passenger,All ships of this type
9268887,246188000,FENSFJORD,79,101,11,6.0,Cargo,No additional information
9406441,205300000,VB EAGLE            ,99,11,19,6.4,Other Type,No additional information
8995201,235031428,NEEDLES,0,35,9,2.4,Not available (default),NaN
9376701,248064000,PALATINE,71,146,50,7.0,Cargo,Hazardous category A
9316309,308803000,DANUBE HIGHWAY,70,31,117,6.7,Cargo,All ships of this type
9367774,246571000,FRISIAN SPRING,70,110,9,3.5,Cargo,All ships of this type
9920710,211884660,UTHOERN,90,14,21,2.3,Other Type,All ships of this type
9408023,235053701,PHENIX              ,52,18,18,6.8,Tug,NaN
9681390,538005495,STI VENERE          ,80,146,37,11.6,Tanker,All ships of this type
9600372,311001438,FUGRO SCOUT         ,98,20,63,6.2,Other Type,Reserved for future use
9396543,229992000,ANNETTA             ,70,120,20,5.2,Cargo,All ships of this type
9630420,477790500,XIAMEN EXPRESS      ,74,243,93,13.4,Cargo,Hazardous category D
6725212,259029690,TRONDS LIFT 8,90,25,20,2.0,Other Type,All ships of this type
7404176,353186000,GLOMAR PATRIOT      ,51,11,49,4.4,Search and Rescue vessel,NaN
9791315,248531000,ARISTEA             ,80,211,39,9.0,Tanker,All ships of this type
9941685,563175500,HAFNIA LANGUEDOC    ,80,203,47,8.6,Tanker,All ships of this type
9852432,257526000,VIKING VELA,69,38,202,6.7,Passenger,No additional information
939249200,257036360,ERIC THE RED        ,40,9,13,1.8,High speed craft (HSC),All ships of this type
9755842,319144400,PEGASUS             ,70,152,28,6.4,Cargo,All ships of this type
9219721,228425700,OTTER BANK F/V      ,30,8,30,7.0,Fishing,NaN
6824575,231336000,TINGANES            ,33,37,13,3.8,Dredging or underwater ops,NaN
9659749,311001384,CANADA PEARL        ,70,155,28,9.9,Cargo,All ships of this type
9803974,232025613,PETEREL             ,52,11,13,5.6,Tug,NaN
9213088,636022504,TRANSUND,70,118,25,9.4,Cargo,All ships of this type
9808168,636018799,GREEN AURA          ,80,209,41,14.0,Tanker,All ships of this type
9641778,211576900,NORDERGRUENDE,55,11,31,2.6,Law Enforcement,NaN
9819856,241659000,RHYTHMIC            ,80,237,37,9.0,Tanker,All ships of this type
9281279,353968000,MSC LISA            ,72,222,72,10.7,Cargo,Hazardous category B
6825218,232003561,SILVER RIVER        ,70,35,6,2.1,Cargo,All ships of this type
9252474,226230000,F./V L'ARC EN CIEL 1,30,15,8,3.0,Fishing,NaN
8401535,308924000,DANICA HAV,70,66,16,2.9,Cargo,All ships of this type
9757125,250004612,ARKLOW CLIFF,70,75,12,5.9,Cargo,All ships of this type
9318187,636013143,MSC CAGLIARI IV,71,192,68,13.0,Cargo,Hazardous category A
9291975,304746000,BBC PLATA           ,70,126,12,5.9,Cargo,All ships of this type
9628465,257959000,OLYMPIC TAURUS      ,90,27,75,5.6,Other Type,All ships of this type
9316995,636018923,GANNET S            ,70,115,20,7.8,Cargo,All ships of this type
9424819,235072616,GRAMPIAN TALISKER,70,14,68,4.4,Cargo,All ships of this type
9755828,235106183,OFFSHORE WADDENZEE  ,40,8,11,1.8,High speed craft (HSC),All ships of this type
9318486,308038000,CORAL LEADER        ,70,27,149,8.0,Cargo,All ships of this type
8432596,246112000,ZK12 PIETER DION    ,30,16,4,2.5,Fishing,NaN
9244922,636022113,ZIM VIETNAM         ,71,212,92,13.4,Cargo,Hazardous category A
9809825,249045000,CMA CGM FORTDEFRANCE,71,173,46,9.8,Cargo,Hazardous category A
8432625,244049000,SCH10 DRIEGEBROEDERS,30,18,4,2.4,Fishing,NaN
9388510,212935000,ELBCARRIER,79,130,10,7.0,Cargo,No additional information
9479266,246582000,RWS 74              ,99,12,12,1.4,Other Type,No additional information
8842806,258536000,ANKERFISK           ,90,20,15,4.5,Other Type,All ships of this type
9036258,211207100,FAIRPLAY-66         ,52,10,22,5.3,Tug,NaN
9148752,305435000,FAIRPLAY 21         ,52,17,18,4.6,Tug,NaN
8944381,245056000,RAYADOR,52,11,16,2.2,Tug,NaN
9352303,211881000,SEATROUT,89,157,31,8.7,Tanker,No additional information
9422108,257551000,NORMAND TONJER,90,17,79,6.3,Other Type,All ships of this type
9841782,232018267,MV SCOT CARRIER     ,70,81,9,5.9,Cargo,All ships of this type
9388704,249512000,SONGA EAGLE         ,89,137,34,7.7,Tanker,No additional information
9053725,257476500,HAAFLU              ,30,26,16,0.0,Fishing,NaN
9571208,244423000,NEPTUN 11           ,38,10,10,4.1,Reserved,NaN
