imo_number,mmsi,name,ship_type,length,width,max_draught,type_name,type_remark
9358905,636019364,MSC TAMISHKA F      ,70,146,15,9.8,Cargo,All ships of this type
8720,244070468,2].-4BX\@]S@A!E@AAE,198,8,16,0.1,Unknown,Unknown
9659385,538007874,SEACOR   OHIO       ,99,20,64,4.2,Other Type,No additional information
9629005,257034530,SPICA TIDE          ,90,23,58,5.3,Other Type,All ships of this type
9857119,244347000,EASTERN ROCK        ,79,5,96,4.0,Cargo,No additional information
884717900,232021354,G/V HAULBOWLINE     ,99,11,12,3.6,Other Type,No additional information
9919759,219030452,ASTRID              ,30,46,46,8.2,Fishing,NaN
9572757,255804340,HARBOUR PIONEER     ,80,134,28,8.0,Tanker,All ships of this type
9578012,249225000,CGAS LEOPARD,80,81,19,6.9,Tanker,All ships of this type
16,235071943,FOSSOR,52,6,8,1.2,Tug,NaN
9488140,235078284,VOS ENTERPRISE      ,90,18,42,4.7,Other Type,All ships of this type
9399260,403512001,NCC NOOR            ,89,155,28,8.5,Tanker,No additional information
5377525,257037970,HESTMANDEN,0,45,15,4.5,Not available (default),NaN
9976082,352002533,GREEN AANEKOSKI     ,70,205,22,8.0,Cargo,All ships of this type
9886433,265035000,VINGASKAR,30,14,20,0.0,Fishing,NaN
9401556,259936000,STAV VIKING         ,80,112,32,8.7,Tanker,All ships of this type
9867621,423543100,KHANKENDI           ,80,204,46,14.5,Tanker,All ships of this type
9594236,311055300,KOSZALIN            ,70,166,23,6.6,Cargo,All ships of this type
9293595,371618000,EUPHONY ACE         ,70,23,177,7.8,Cargo,All ships of this type
9632569,257797000,DOENNLAND,70,25,37,5.6,Cargo,All ships of this type
8959489,232033233,GWENDOLINE          ,50,50,20,0.0,Pilot Vessel,NaN
8664319,246245000,ZEELEEUW            ,52,12,7,1.8,Tug,NaN
8965464,232007960,GV FAIRLINE SURVEYOR,38,12,12,3.8,Reserved,NaN
9263540,255806175,EDMY,70,104,15,6.9,Cargo,All ships of this type
9304447,636018075,MSC ROMA            ,70,260,77,12.3,Cargo,All ships of this type
6604690,219000245,SATURN              ,70,45,10,3.2,Cargo,All ships of this type
8976384,205080000,LA VENTA,52,5,10,2.4,Tug,NaN
9720691,232039611,CROMARTY SENTINEL   ,99,11,49,4.8,Other Type,No additional information
7907855,235097047,STELLA POLARIS PD200,30,17,17,0.0,Fishing,NaN
9416563,211156800,FAIRPLAY-30         ,52,9,30,6.2,Tug,NaN
9359832,235051726,PUTFORD PRIDE       ,99,7,61,4.4,Other Type,No additional information
9423748,245278000,EEMSBORG            ,79,124,14,5.2,Cargo,No additional information
6504157,205203390,TUG 92              ,52,10,18,0.0,Tug,NaN
9421647,244239000,EEMS SKY            ,70,74,12,4.1,Cargo,All ships of this type
9882061,246539000,MAXIMA              ,70,15,135,8.7,Cargo,All ships of this type
9443566,244130690,BORE SONG,71,148,47,6.2,Cargo,Hazardous category A
9917244,232041396,MANXMAN,69,20,113,5.1,Passenger,No additional information
9430961,257670000,WILSON NARVIK,70,106,16,7.7,Cargo,All ships of this type
9249556,235103397,WIRON5.H1100,30,0,0,6.8,Fishing,NaN
9884679,265022000,BOTNIA ENABLER      ,71,155,87,7.7,Cargo,Hazardous category A
9352793,235010620,SVITZER STANLOW,52,21,18,6.2,Tug,NaN
9899947,228024230,TSM HONFLEUR        ,52,12,13,5.9,Tug,NaN
9350783,255802540,ALAND,70,100,16,5.6,Cargo,All ships of this type
9359844,235051735,PUTFORD JAGUAR      ,51,15,52,5.0,Search and Rescue vessel,NaN
9284386,538009510,RYVINGEN SUN        ,80,187,42,8.5,Tanker,All ships of this type
9359648,257701000,FOLLA,79,16,66,6.0,Cargo,No additional information
9728772,304957000,MARIE LEHMANN,79,95,12,5.0,Cargo,No additional information
9903140,352980766,RED ADMIRAL         ,80,189,41,8.3,Tanker,All ships of this type
9359662,257302000,HOLMFOSS,70,20,62,5.7,Cargo,All ships of this type
9728758,232035207,SCOT ISLES          ,70,81,9,5.3,Cargo,All ships of this type
7912020,265509140,FREYA               ,70,30,16,3.9,Cargo,All ships of this type
9909857,232043529,ARTEMIS             ,30,44,32,5.0,Fishing,NaN
9728784,232047453,SCOT TRADER         ,70,81,9,5.6,Cargo,All ships of this type
9920758,538009321,NISSOS KEA          ,80,276,54,11.0,Tanker,All ships of this type
9728887,244850087,NORTHERN ROCK,70,85,8,4.3,Cargo,All ships of this type
9915698,244540000,NABIL,99,12,71,3.2,Other Type,No additional information
9436197,255772000,BG ONYX             ,72,134,7,7.5,Cargo,Hazardous category B
9921661,211585990,NORDLICHT II        ,48,11,35,2.4,High speed craft (HSC),Reserved for future use
